tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
1	Acephate	30560-19-1	NV	Other Organic Chemicals	8
2	Acetaldehyde	75-07-0	V	Undefined	1
3	Acetochlor	34256-82-1	NV	Other Organic Chemicals	8
4	Acetone	67-64-1	V	Undefined	1
5	Acetone Cyanohydrin	75-86-5	NV	Other Organic Chemicals	8
6	Acetonitrile	75-05-8	V	Undefined	1
7	Acetophenone	98-86-2	V	Undefined	1
8	"Acetylaminofluorene, 2-"	53-96-3	NV	Other Organic Chemicals	8
9	Acrolein	107-02-8	V	Undefined	1
10	Acrylamide	79-06-1	NV	Other Organic Chemicals	8
11	Acrylic Acid	79-10-7	V	Undefined	1
12	Acrylonitrile	107-13-1	V	Undefined	1
13	Adiponitrile	111-69-3	NV	Other Organic Chemicals	8
14	Alachlor	15972-60-8	NV	Other Organic Chemicals	8
15	Aldicarb	116-06-3	NV	Other Organic Chemicals	8
16	Aldicarb Sulfone	1646-88-4	NV	Other Organic Chemicals	8
17	Aldicarb sulfoxide	1646-87-3	NV	Other Organic Chemicals	8
18	Aldrin	309-00-2	V	Chlorinated Insecticides	2
19	Allyl Alcohol	107-18-6	V	Undefined	1
20	Allyl Chloride	107-05-1	V	Undefined	1
21	Aluminum	7429-90-5	NV	Undefined	1
22	Aluminum Phosphide	20859-73-8	NV	Undefined	1
23	Ametryn	834-12-8	NV	Other Organic Chemicals	8
24	"Aminobiphenyl, 4-"	92-67-1	NV	Other Organic Chemicals	8
25	"Aminophenol, m-"	591-27-5	NV	Other Organic Chemicals	8
26	"Aminophenol, o-"	95-55-6	NV	Other Organic Chemicals	8
27	"Aminophenol, p-"	123-30-8	NV	Other Organic Chemicals	8
28	Amitraz	33089-61-1	NV	Other Organic Chemicals	8
29	Ammonia	7664-41-7	V	Undefined	1
30	Ammonium Sulfamate	7773-06-0	NV	Undefined	1
31	"Amyl Alcohol, tert-"	75-85-4	V	Undefined	1
32	Aniline	62-53-3	NV	Other Organic Chemicals	8
33	"Anthraquinone, 9,10-"	84-65-1	NV	Other Organic Chemicals	8
34	Antimony (metallic)	7440-36-0	NV	Other metals and complexed cyanides	12
35	Antimony Pentoxide	1314-60-9	NV	Other metals and complexed cyanides	12
36	Antimony Tetroxide	1332-81-6	NV	Other metals and complexed cyanides	12
37	Antimony Trioxide	1309-64-4	NV	Other metals and complexed cyanides	12
