SFO	IUR	RfDo	RfCi	ABS	Analyte	CAS No.
 	 	1.2E-03	 	0.1	Acephate	30560-19-1
 	2.2E-06	 	9.0E-03	 	Acetaldehyde	75-07-0
 	 	2.0E-02	 	0.1	Acetochlor	34256-82-1
 	 	9.0E-01	3.1E+01	 	Acetone	67-64-1
 	 	 	2.0E-03	0.1	Acetone Cyanohydrin	75-86-5
 	 	 	6.0E-02	 	Acetonitrile	75-05-8
 	 	1.0E-01	 	 	Acetophenone	98-86-2
3.8E+00	1.3E-03	 	 	0.1	"Acetylaminofluorene, 2-"	53-96-3
 	 	5.0E-04	2.0E-05	 	Acrolein	107-02-8
5.0E-01	1.0E-04	2.0E-03	6.0E-03	0.1	Acrylamide	79-06-1
 	 	5.0E-01	1.0E-03	 	Acrylic Acid	79-10-7
5.4E-01	6.8E-05	4.0E-02	2.0E-03	 	Acrylonitrile	107-13-1
 	 	 	6.0E-03	0.1	Adiponitrile	111-69-3
5.6E-02	 	1.0E-02	 	0.1	Alachlor	15972-60-8
 	 	1.0E-03	 	0.1	Aldicarb	116-06-3
 	 	1.0E-03	 	0.1	Aldicarb Sulfone	1646-88-4
 	 	 	 	0.1	Aldicarb sulfoxide	1646-87-3
1.7E+01	4.9E-03	3.0E-05	 	 	Aldrin	309-00-2
 	 	5.0E-03	1.0E-04	 	Allyl Alcohol	107-18-6
2.1E-02	6.0E-06	 	1.0E-03	 	Allyl Chloride	107-05-1
 	 	1.0E+00	5.0E-03	 	Aluminum	7429-90-5
 	 	4.0E-04	 	 	Aluminum Phosphide	20859-73-8
 	 	9.0E-03	 	0.1	Ametryn	834-12-8
2.1E+01	6.0E-03	 	 	0.1	"Aminobiphenyl, 4-"	92-67-1
 	 	8.0E-02	 	0.1	"Aminophenol, m-"	591-27-5
 	 	4.0E-03	 	0.1	"Aminophenol, o-"	95-55-6
 	 	2.0E-02	 	0.1	"Aminophenol, p-"	123-30-8
 	 	2.5E-03	 	0.1	Amitraz	33089-61-1
 	 	 	5.0E-01	 	Ammonia	7664-41-7
 	 	2.0E-01	 	 	Ammonium Sulfamate	7773-06-0
 	 	 	3.0E-03	 	"Amyl Alcohol, tert-"	75-85-4
5.7E-03	1.6E-06	7.0E-03	1.0E-03	0.1	Aniline	62-53-3
4.0E-02	 	2.0E-03	 	0.1	"Anthraquinone, 9,10-"	84-65-1
 	 	4.0E-04	 	 	Antimony (metallic)	7440-36-0
 	 	5.0E-04	 	 	Antimony Pentoxide	1314-60-9
 	 	4.0E-04	 	 	Antimony Tetroxide	1332-81-6
 	 	 	2.0E-04	 	Antimony Trioxide	1309-64-4
1.5E+00	4.3E-03	3.0E-04	1.5E-05	0.03	"Arsenic, Inorganic"	7440-38-2
 	 	3.5E-06	5.0E-05	 	Arsine	7784-42-1
 	 	3.6E-02	 	0.1	Asulam	3337-71-1
2.3E-01	 	3.5E-02	 	0.1	Atrazine	1912-24-9
8.8E-01	2.5E-04	 	 	0.1	Auramine	492-80-8
 	 	4.0E-04	 	0.1	Avermectin B1	65195-55-3
 	 	3.0E-03	1.0E-02	0.1	Azinphos-methyl	86-50-0
1.1E-01	3.1E-05	 	 	 	Azobenzene	103-33-3
 	 	1.0E+00	7.0E-06	0.1	Azodicarbonamide	123-77-3
 	 	2.0E-01	5.0E-04	 	Barium	7440-39-3
5.0E-01	1.5E-01	2.0E-02	2.0E-04	 	Barium Chromate	10294-40-3
 	 	5.0E-03	 	 	Benfluralin	1861-40-1
 	 	5.0E-02	 	0.1	Benomyl	17804-35-2
 	 	2.0E-01	 	0.1	Bensulfuron-methyl	83055-99-6
 	 	3.0E-02	 	0.1	Bentazon	25057-89-0
4.0E-03	 	1.0E-01	 	 	Benzaldehyde	100-52-7
5.5E-02	7.8E-06	4.0E-03	3.0E-02	 	Benzene	71-43-2
1.0E-01	 	3.0E-04	 	0.1	"Benzenediamine-2-methyl sulfate, 1,4-"	6369-59-1
 	 	1.0E-03	 	 	Benzenethiol	108-98-5
2.3E+02	6.7E-02	3.0E-03	 	0.1	Benzidine	92-87-5
 	 	4.0E+00	 	0.1	Benzoic Acid	65-85-0
1.3E+01	 	 	 	 	Benzotrichloride	98-07-7
 	 	1.0E-01	 	0.1	Benzyl Alcohol	100-51-6
1.7E-01	4.9E-05	2.0E-03	1.0E-03	 	Benzyl Chloride	100-44-7
 	2.4E-03	2.0E-03	2.0E-05	 	Beryllium and compounds	7440-41-7
 	 	9.0E-03	 	0.1	Bifenox	42576-02-3
 	 	1.5E-02	 	0.1	Biphenthrin	82657-04-3
8.0E-03	 	5.0E-01	4.0E-04	 	"Biphenyl, 1,1'-"	92-52-4
 	 	4.0E-02	 	 	Bis(2-chloro-1-methylethyl) ether	108-60-1
 	 	3.0E-03	 	0.1	Bis(2-chloroethoxy)methane	111-91-1
1.1E+00	3.3E-04	 	 	 	Bis(2-chloroethyl)ether	111-44-4
2.2E+02	6.2E-02	 	 	 	Bis(chloromethyl)ether	542-88-1
 	 	5.0E-02	 	0.1	Bisphenol A	80-05-7
 	 	2.0E-01	2.0E-02	 	Boron And Borates Only	7440-42-8
 	 	2.0E+00	2.0E-02	 	Boron Trichloride	10294-34-5
 	 	4.0E-02	1.3E-02	 	Boron Trifluoride	7637-07-2
7.0E-01	 	4.0E-03	 	 	Bromate	15541-45-4
2.0E+00	6.0E-04	 	 	 	"Bromo-2-chloroethane, 1-"	107-04-0
 	 	8.0E-03	6.0E-02	 	Bromobenzene	108-86-1
 	 	 	4.0E-02	 	Bromochloromethane	74-97-5
6.2E-02	3.7E-05	2.0E-02	 	 	Bromodichloromethane	75-27-4
7.9E-03	1.1E-06	2.0E-02	 	 	Bromoform	75-25-2
 	 	1.4E-03	5.0E-03	 	Bromomethane	74-83-9
 	 	5.0E-03	 	 	Bromophos	2104-96-3
1.0E-01	 	1.5E-02	 	0.1	Bromoxynil	1689-84-5
 	 	1.5E-02	 	 	Bromoxynil Octanoate	1689-99-2
3.4E+00	3.0E-05	 	2.0E-03	 	"Butadiene, 1,3-"	106-99-0
 	 	3.0E-02	 	0.1	"Butanoic acid, 4-(2,4-dichlorophenoxy)-"	94-82-6
 	 	1.0E-01	 	 	"Butanol, N-"	71-36-3
 	 	2.0E+00	3.0E+01	 	"Butyl alcohol, sec-"	78-92-2
 	 	5.0E-02	 	 	Butylate	2008-41-5
2.0E-04	5.7E-08	 	 	0.1	Butylated hydroxyanisole	25013-16-5
3.6E-03	 	3.0E-01	 	0.1	Butylated hydroxytoluene	128-37-0
 	 	5.0E-02	 	 	"Butylbenzene, n-"	104-51-8
 	 	1.0E-01	 	 	"Butylbenzene, sec-"	135-98-8
 	 	1.0E-01	 	 	"Butylbenzene, tert-"	98-06-6
 	 	2.0E-02	 	0.1	Cacodylic Acid	75-60-5
 	1.8E-03	1.0E-03	1.0E-05	0.001	Cadmium (Diet)	7440-43-9
 	1.8E-03	5.0E-04	1.0E-05	0.001	Cadmium (Water)	7440-43-9
5.0E-01	1.5E-01	2.0E-02	2.0E-04	 	Calcium Chromate	13765-19-0
 	 	5.0E-01	2.2E-03	0.1	Caprolactam	105-60-2
1.5E-01	4.3E-05	2.0E-03	 	0.1	Captafol	2425-06-1
2.3E-03	6.6E-07	1.3E-01	 	0.1	Captan	133-06-2
 	 	1.0E-01	 	0.1	Carbaryl	63-25-2
 	 	5.0E-03	 	0.1	Carbofuran	1563-66-2
 	 	1.0E-01	7.0E-01	 	Carbon Disulfide	75-15-0
7.0E-02	6.0E-06	4.0E-03	1.0E-01	 	Carbon Tetrachloride	56-23-5
 	 	 	1.0E-01	 	Carbonyl Sulfide	463-58-1
 	 	1.0E-02	 	0.1	Carbosulfan	55285-14-8
 	 	1.0E-01	 	0.1	Carboxin	5234-68-4
 	 	 	9.0E-04	 	Ceric oxide	1306-38-3
 	 	1.0E-01	 	 	Chloral Hydrate	302-17-0
 	 	1.5E-02	 	0.1	Chloramben	133-90-4
4.0E-01	 	 	 	0.1	Chloranil	118-75-2
3.5E-01	1.0E-04	5.0E-04	7.0E-04	0.04	Chlordane	12789-03-6
1.0E+01	4.6E-03	3.0E-04	 	0.1	Chlordecone (Kepone)	143-50-0
